questionnaire_item_id,diagnostic_unit,external_domain,parameter_name,dsm_block,question_text,response_type,allowed_values,temporal_reference,context_reference,impairment_reference,exclusion_reference,severity_reference,requiredness,direct_or_proxy_for_normative_parameter,notes,row_id_from_normative_csv,unit_key
QI_0113,Trastorno de ansiedad generalizada,Ansiedad,GAD_4,C.4,Irritabilidad,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,113,generalized_anxiety_disorder
QI_0114,Trastorno de ansiedad generalizada,Ansiedad,GAD_5,C.5,Tensión muscular,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,114,generalized_anxiety_disorder
QI_0115,Trastorno de ansiedad generalizada,Ansiedad,GAD_6,C.6,Problemas de sueño,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,115,generalized_anxiety_disorder
QI_0116,Trastorno de depresión mayor,Depresión,MDD_A_THRESHOLD,A,"Cinco o más síntomas en el mismo período de dos semanas, con al menos uno de los dos síntomas nucleares",categorical,"none,low,moderate,high,unknown",Umbral diagnóstico obligatorio,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,116,major_depressive_disorder
QI_0117,Trastorno de depresión mayor,Depresión,MDD_A_NUCLEAR,A,Al menos un síntoma nuclear: estado de ánimo deprimido o pérdida de interés o placer,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,117,major_depressive_disorder
QI_0118,Trastorno de depresión mayor,Depresión,MDD_B,B,Malestar clínicamente significativo o deterioro funcional,boolean,"0,1",,,Gate obligatorio,,,required,direct,mapping_status=absent; evidence_type=absent,118,major_depressive_disorder
QI_0119,Trastorno de depresión mayor,Depresión,MDD_C,C,No atribuible a sustancia ni a otra afección médica,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,119,major_depressive_disorder
QI_0120,Trastorno de depresión mayor,Depresión,MDD_D,D,"No explicado mejor por trastorno esquizoafectivo, esquizofrenia u otros trastornos psicóticos",boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,120,major_depressive_disorder
QI_0121,Trastorno de depresión mayor,Depresión,MDD_E,E,Nunca ha habido episodio maníaco o hipomaníaco salvo inducción por sustancias o afección médica,boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,121,major_depressive_disorder
QI_0122,Trastorno de depresión mayor,Depresión,MDD_SPECIFIERS,Especificadores,"Con ansiedad, con características mixtas, melancólicas, atípicas, psicóticas congruentes o no congruentes, con catatonía, con inicio en el periparto y con patrón estacional cuando corresponda",categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,122,major_depressive_disorder
QI_0123,Trastorno de depresión mayor,depression,MDD_EPISODE_COURSE,Procedimientos de codificación y registro,El código diagnóstico del trastorno de depresión mayor se basa en si el cuadro corresponde a episodio único o recurrente.,categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,123,major_depressive_disorder
QI_0124,Trastorno de depresión mayor,depression,MDD_RECURRENT_INTERVAL,Procedimientos de codificación y registro,"Para considerar un episodio como recurrente debe existir un intervalo mínimo de dos meses consecutivos entre episodios, durante el cual no se cumplan los criterios para un episodio de depresión mayor.",categorical,"none,low,moderate,high,unknown",Debe validarse antes de clasificar el curso como recurrente.,,,,,required,direct,mapping_status=absent; evidence_type=absent,124,major_depressive_disorder
QI_0125,Trastorno de depresión mayor,depression,MDD_CURRENT_SEVERITY,Procedimientos de codificación y registro,"La gravedad actual debe codificarse como leve, moderado o grave y se basa en el número de síntomas, su intensidad y el grado de deterioro funcional.",categorical,"none,low,moderate,high,unknown",,,Sólo se especifica cuando actualmente se cumplen todos los criterios para un episodio de depresión mayor.,,Sólo se especifica cuando actualmente se cumplen todos los criterios para un episodio de depresión mayor.,required,proxy,mapping_status=derived; evidence_type=questionnaire,125,major_depressive_disorder
QI_0126,Trastorno de depresión mayor,depression,MDD_PSYCHOTIC_STATUS,Procedimientos de codificación y registro,"La presencia de características psicóticas debe codificarse cuando corresponda y, si existen, debe registrarse independientemente de la gravedad del episodio.",boolean,"0,1",,,,,Sólo se especifica cuando actualmente se cumplen todos los criterios para un episodio de depresión mayor.,required,direct,mapping_status=absent; evidence_type=absent,126,major_depressive_disorder
QI_0127,Trastorno de depresión mayor,depression,MDD_REMISSION_STATUS,Procedimientos de codificación y registro,El estado de remisión debe codificarse como remisión parcial o remisión total cuando actualmente no se cumplen todos los criterios para un episodio de depresión mayor.,categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,127,major_depressive_disorder
QI_0128,Trastorno de depresión mayor,depression,MDD_DIAGNOSTIC_RECORD_ORDER,Procedimientos de codificación y registro,"Al registrar el diagnóstico se debe enumerar en este orden: trastorno de depresión mayor, episodio único o recurrente, especificadores de gravedad/psicótico/remisión y después los demás especificadores aplicables al episodio actual.",categorical,"none,low,moderate,high,unknown",,,,,Regla formal de codificación y registro que debe mantenerse intacta.,required,proxy,mapping_status=derived; evidence_type=derived,128,major_depressive_disorder
QI_0129,Trastorno de depresión mayor,Depresión,MDD_1,A.1,"Estado de ánimo deprimido la mayor parte del día, casi todos los días; en niños puede ser irritable",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,129,major_depressive_disorder
QI_0130,Trastorno de depresión mayor,Depresión,MDD_2,A.2,Disminución importante del interés o del placer por todas o casi todas las actividades,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,130,major_depressive_disorder
QI_0131,Trastorno de depresión mayor,Depresión,MDD_3,A.3,"Pérdida importante de peso sin dieta o aumento de peso, o disminución o aumento del apetito; en niños considerar fracaso para aumentar peso esperado",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,131,major_depressive_disorder
QI_0132,Trastorno de depresión mayor,Depresión,MDD_4,A.4,Insomnio o hipersomnia casi todos los días,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,132,major_depressive_disorder
QI_0133,Trastorno de depresión mayor,Depresión,MDD_5,A.5,Agitación o retraso psicomotor observable casi todos los días,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,133,major_depressive_disorder
QI_0134,Trastorno de depresión mayor,Depresión,MDD_6,A.6,Fatiga o pérdida de energía casi todos los días,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,134,major_depressive_disorder
QI_0135,Trastorno de depresión mayor,Depresión,MDD_7,A.7,Sentimiento de inutilidad o culpabilidad excesiva o inapropiada,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,135,major_depressive_disorder
QI_0136,Trastorno de depresión mayor,Depresión,MDD_8,A.8,Disminución de la capacidad para pensar o concentrarse o para tomar decisiones,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,136,major_depressive_disorder
QI_0137,Trastorno de depresión mayor,Depresión,MDD_9,A.9,"Pensamientos de muerte recurrentes, ideas suicidas, intento o plan específico",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,137,major_depressive_disorder
QI_0138,Trastorno de depresión mayor,Depresión,MDD_SPEC_1,Especificador depresivo,Con ansiedad,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,138,major_depressive_disorder
QI_0139,Trastorno de depresión mayor,Depresión,MDD_SPEC_2,Especificador depresivo,Con características mixtas,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,139,major_depressive_disorder
QI_0140,Trastorno de depresión mayor,Depresión,MDD_SPEC_3,Especificador depresivo,Con características melancólicas,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,140,major_depressive_disorder
QI_0141,Trastorno de depresión mayor,Depresión,MDD_SPEC_4,Especificador depresivo,Con características atípicas,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,141,major_depressive_disorder
QI_0142,Trastorno de depresión mayor,Depresión,MDD_SPEC_5,Especificador depresivo,Con características psicóticas congruentes con el estado de ánimo,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,142,major_depressive_disorder
QI_0143,Trastorno de depresión mayor,Depresión,MDD_SPEC_6,Especificador depresivo,Con características psicóticas no congruentes con el estado de ánimo,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,143,major_depressive_disorder
QI_0144,Trastorno de depresión mayor,Depresión,MDD_SPEC_7,Especificador depresivo,Con catatonía,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,144,major_depressive_disorder
QI_0145,Trastorno de depresión mayor,Depresión,MDD_SPEC_8,Especificador depresivo,Con inicio en el periparto,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,145,major_depressive_disorder
QI_0146,Trastorno de depresión mayor,Depresión,MDD_SPEC_9,Especificador depresivo,Con patrón estacional sólo en episodio recurrente,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,146,major_depressive_disorder
QI_0147,Trastorno depresivo persistente,Depresión,PDD_A,A,"Estado de ánimo deprimido durante la mayor parte del día, presente más días de los que está ausente, durante al menos 2 años; en niños y adolescentes puede ser irritable y la duración mínima es 1 año",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,147,persistent_depressive_disorder
QI_0148,Trastorno depresivo persistente,Depresión,PDD_B_THRESHOLD,B,Dos o más de seis síntomas durante la depresión,categorical,"none,low,moderate,high,unknown",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,148,persistent_depressive_disorder
QI_0149,Trastorno depresivo persistente,Depresión,PDD_C,C,Durante el período de alteración nunca ha estado sin los síntomas de A y B por más de 2 meses seguidos,boolean,"0,1",Gate obligatorio,,,,,required,direct,mapping_status=absent; evidence_type=absent,149,persistent_depressive_disorder
QI_0150,Trastorno depresivo persistente,Depresión,PDD_D,D,Los criterios para depresión mayor pueden estar continuamente presentes durante 2 años,boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,150,persistent_depressive_disorder
QI_0151,Trastorno depresivo persistente,Depresión,PDD_E,E,Nunca ha habido episodio maníaco o hipomaníaco y nunca se han cumplido criterios de trastorno ciclotímico,boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,151,persistent_depressive_disorder
QI_0152,Trastorno depresivo persistente,Depresión,PDD_F,F,"No explicado mejor por trastorno esquizoafectivo persistente, esquizofrenia, trastorno delirante u otro trastorno psicótico",boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,152,persistent_depressive_disorder
QI_0153,Trastorno depresivo persistente,Depresión,PDD_G,G,No atribuible a sustancia o afección médica,boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,153,persistent_depressive_disorder
QI_0154,Trastorno depresivo persistente,Depresión,PDD_H,H,Malestar clínicamente significativo o deterioro funcional,boolean,"0,1",,,Gate obligatorio,,,required,direct,mapping_status=absent; evidence_type=absent,154,persistent_depressive_disorder
QI_0155,Trastorno depresivo persistente,Depresión,PDD_REMISSION,Especificador,Remisión parcial o total,categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,155,persistent_depressive_disorder
QI_0156,Trastorno depresivo persistente,Depresión,PDD_ONSET,Especificador,Inicio temprano si comienza antes de los 21 años; inicio tardío si empieza a los 21 o después,categorical,"none,low,moderate,high,unknown",Debe codificarse por separado,,,,,required,direct,mapping_status=absent; evidence_type=absent,156,persistent_depressive_disorder
QI_0157,Trastorno depresivo persistente,Depresión,PDD_COURSE,Especificador,"Síndrome distímico puro, episodio de depresión mayor persistente, episodios intermitentes con episodio actual o sin episodio actual",categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,157,persistent_depressive_disorder
QI_0158,Trastorno depresivo persistente,Depresión,PDD_SEVERITY,Gravedad actual,"Leve, moderado o grave",categorical,"none,low,moderate,high,unknown",,,,,Debe codificarse por separado,required,proxy,mapping_status=derived; evidence_type=questionnaire,158,persistent_depressive_disorder
QI_0159,Trastorno depresivo persistente,Depresión,PDD_1,B.1,Poco apetito o sobrealimentación,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,159,persistent_depressive_disorder
QI_0160,Trastorno depresivo persistente,Depresión,PDD_2,B.2,Insomnio o hipersomnia,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,160,persistent_depressive_disorder
QI_0161,Trastorno depresivo persistente,Depresión,PDD_3,B.3,Poca energía o fatiga,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,161,persistent_depressive_disorder
QI_0162,Trastorno depresivo persistente,Depresión,PDD_4,B.4,Baja autoestima,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,162,persistent_depressive_disorder
QI_0163,Trastorno depresivo persistente,Depresión,PDD_5,B.5,Falta de concentración o dificultad para tomar decisiones,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,163,persistent_depressive_disorder
QI_0164,Trastorno depresivo persistente,Depresión,PDD_6,B.6,Sentimientos de desesperanza,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,164,persistent_depressive_disorder
QI_0165,Trastorno depresivo persistente,Depresión,PDD_SPEC_1,Especificador depresivo,Con ansiedad,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,165,persistent_depressive_disorder
QI_0166,Trastorno depresivo persistente,Depresión,PDD_SPEC_2,Especificador depresivo,Con características mixtas,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,166,persistent_depressive_disorder
QI_0167,Trastorno depresivo persistente,Depresión,PDD_SPEC_3,Especificador depresivo,Con características melancólicas,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,167,persistent_depressive_disorder
QI_0168,Trastorno depresivo persistente,Depresión,PDD_SPEC_4,Especificador depresivo,Con características atípicas,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,168,persistent_depressive_disorder
QI_0169,Trastorno depresivo persistente,Depresión,PDD_SPEC_5,Especificador depresivo,Con características psicóticas congruentes con el estado de ánimo,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,169,persistent_depressive_disorder
QI_0170,Trastorno depresivo persistente,Depresión,PDD_SPEC_6,Especificador depresivo,Con características psicóticas no congruentes con el estado de ánimo,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,170,persistent_depressive_disorder
QI_0171,Trastorno depresivo persistente,Depresión,PDD_SPEC_7,Especificador depresivo,Con inicio en el periparto,boolean,"0,1",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,171,persistent_depressive_disorder
QI_0172,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_A,A,"Accesos de cólera graves y recurrentes, verbales y/o conductuales, desproporcionados a la situación o provocación",boolean,"0,1",,,,,Gate principal,required,proxy,mapping_status=proxy; evidence_type=questionnaire,172,dmdd
QI_0173,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_B,B,Los accesos de cólera no concuerdan con el grado de desarrollo,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,173,dmdd
QI_0174,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_C,C,"Los accesos de cólera se producen, en término medio, tres o más veces por semana",categorical,"none,low,moderate,high,unknown",Gate obligatorio,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,174,dmdd
QI_0175,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_D,D,"Estado de ánimo entre accesos persistentemente irritable o irascible la mayor parte del día, casi todos los días, observable por otros",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,175,dmdd
QI_0176,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_E,E,Criterios A-D presentes durante 12 o más meses y sin un período de 3 meses consecutivos sin todos los síntomas,categorical,"none,low,moderate,high,unknown",Gate obligatorio,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,176,dmdd
QI_0177,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_F,F,Criterios A y D presentes al menos en dos de tres contextos y graves al menos en uno,categorical,"none,low,moderate,high,unknown",,Gate obligatorio,,,Gate obligatorio,required,proxy,mapping_status=proxy; evidence_type=questionnaire,177,dmdd
QI_0178,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_G,G,Primer diagnóstico no antes de los 6 años ni después de los 18 años,categorical,"none,low,moderate,high,unknown",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,178,dmdd
QI_0179,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_H,H,"Por historia u observación, los criterios A-E comienzan antes de los 10 años",categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,179,dmdd
QI_0180,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_I,I,"Nunca ha habido período bien definido de más de un día que cumpla criterios sintomáticos de manía o hipomanía, excepto duración",boolean,"0,1",,,,,,required,proxy,mapping_status=derived; evidence_type=derived,180,dmdd
QI_0181,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_J,J,No ocurre exclusivamente durante episodio de depresión mayor y no se explica mejor por otro trastorno mental,boolean,"0,1",,,,Gate obligatorio,,required,direct,mapping_status=absent; evidence_type=absent,181,dmdd
QI_0182,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_J_COEXISTENCE,Nota de coexistencia,"No puede coexistir con trastorno negativista desafiante, trastorno explosivo intermitente ni trastorno bipolar; puede coexistir con depresión mayor, TDAH, trastorno de conducta y trastornos por consumo de sustancias",categorical,"none,low,moderate,high,unknown",,,,Regla de coexistencia obligatoria,,required,proxy,mapping_status=derived; evidence_type=derived,182,dmdd
QI_0183,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,DMDD_K,K,No atribuible a sustancia ni a afección médica o neurológica,boolean,"0,1",,,,,,required,proxy,mapping_status=derived; evidence_type=questionnaire,183,dmdd
